0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/approve
function/approve	has_input	approve/spender
approve/spender	has_type	address
function/approve	has_input	approve/amount
approve/amount	has_type	uint256
function/approve	has_output	approve/output
approve/output	has_type	bool
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/balanceof
function/balanceof	has_input	balanceof/account
balanceof/account	has_type	address
function/balanceof	has_output	balanceof/output
balanceof/output	has_type	uint256
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/burn
function/burn	has_input	burn/amount
burn/amount	has_type	uint256
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/cap
function/cap	has_output	cap/output
cap/output	has_type	uint256
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/decimals
function/decimals	has_output	decimals/output
decimals/output	has_type	uint8
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/decreaseallowance
function/decreaseallowance	has_input	decreaseallowance/spender
decreaseallowance/spender	has_type	address
function/decreaseallowance	has_input	decreaseallowance/subtractedvalue
decreaseallowance/subtractedvalue	has_type	uint256
function/decreaseallowance	has_output	decreaseallowance/output
decreaseallowance/output	has_type	bool
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/emergencyrecipient
function/emergencyrecipient	has_output	emergencyrecipient/output
emergencyrecipient/output	has_type	address
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/emergencywithdraw
function/emergencywithdraw	has_input	emergencywithdraw/token
emergencywithdraw/token	has_type	address
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/increaseallowance
function/increaseallowance	has_input	increaseallowance/spender
increaseallowance/spender	has_type	address
function/increaseallowance	has_input	increaseallowance/addedvalue
increaseallowance/addedvalue	has_type	uint256
function/increaseallowance	has_output	increaseallowance/output
increaseallowance/output	has_type	bool
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/mint
function/mint	has_input	mint/to
mint/to	has_type	address
function/mint	has_input	mint/amount
mint/amount	has_type	uint256
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/minter
function/minter	has_output	minter/output
minter/output	has_type	address
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/name
function/name	has_output	name/output
name/output	has_type	string
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/nominatenewowner
function/nominatenewowner	has_input	nominatenewowner/newowner
nominatenewowner/newowner	has_type	address
0x0000000000095413afc295d19edeb1ad7b71c952	has_function	function/nominatedowner
function/nominatedowner	has_output	nominatedowner/output
