address,category
0x94e0bab2f6ab1f19f4750e42d7349f2740513ad5,Dexes
0xeca82185adce47f39c684352b0439f030f860318,Dexes
0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,Dexes
0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,Uncollateralized Lending
0xf5238462e7235c7b62811567e63dd17d12c2eaa0,RWA
0x20c36f062a31865bed8a5b1e512d9a1a20aa333a,Algo-Stables
0x3a880652f47bfaa771908c07dd8673a787daed3a,Derivatives
0x221657776846890989a759ba2973e427dff5c9bb,Prediction Market
0x0000000000095413afc295d19edeb1ad7b71c952,Dexes
0xad32A8e6220741182940c5aBF610bDE99E737b2D,Indexes
0xdab396ccf3d84cf2d07c4454e10c8a6f5b008d2b,RWA Lending
0x534D1F5E617e0f72A6b06a04Aa599839AF776A5e,Liquid Staking
0xB620Be8a1949AA9532e6a3510132864EF9Bc3F82,Lending
0x618679df9efcd19694bb1daa8d00718eacfa2883,Yield
0xAB846Fb6C81370327e784Ae7CbB6d6a6af6Ff4BF,Lending
0x85b6ACaBa696B9E4247175274F8263F99b4B9180,Yield
0xc221b7e65ffc80de234bbb6667abdd46593d34f0,RWA Lending
0x85eee30c52b0b379b046fb0f85f4f3dc3009afec,Cross Chain
0x95a4492F028aa1fd432Ea71146b433E7B4446611,Yield
0x72e9D9038cE484EE986FEa183f8d8Df93f9aDA13,Lending
0x6bB61215298F296C55b19Ad842D3Df69021DA2ef,NFT Lending
0x88acdd2a6425c3faae4bc9650fd7e27e0bebb7ab,Yield
0x5d8d9f5b96f4438195be9b99eee6118ed4304286,Insurance
0xF88b137cfa667065955ABD17525e89EDCF4D6426,Insurance
0x297d33e17e61c2ddd812389c2105193f8348188a,Bridge
0x2a54ba2964c8cd459dc568853f79813a60761b58,CDP
0x0ada190c81b814548ddc2f6adc4a689ce7c1fe73,Yield Aggregator
0xf3dcbc6d72a4e1892f7917b7c43b74131df8480e,Yield
0x2f57430a6ceda85a67121757785877b4a71b8e6d,Dexes
0x000000007a58f5f58e697e51ab0357bc9e260a04,Services
0x1e4ede388cbc9f4b5c79681b7f94d36a11abebc9,NFT Lending
0x53011e93f21ec7a74cdfbb7e6548f1abce306833,Lending
0xB8BAa0e4287890a5F79863aB62b7F175ceCbD433,Dexes
0x000000000000d0151e748d25b766e77efe2a6c83,Dexes
0xbc16da9df0a22f01a16bc0620a27e7d6d6488550,Lending
0x6732efaf6f39926346bef8b821a04b6361c4f3e5,Indexes
0x7777777777697cfeecf846a76326da79cc606517,Dexes
0x6C16119B20fa52600230F074b349dA3cb861a7e3,Lending
0x4332f8A38f14BD3D8D1553aF27D7c7Ac6C27278D,Lending
0x5218e472cfcfe0b64a064f055b43b4cdc9efd3a6,Lending
0x2FdA8c6783Aa36BeD645baD28a4cDC8769dCD252,CDP
0x66C0DDEd8433c9EA86C8cf91237B14e10b4d70B7,Yield
0x3449fc1cd036255ba1eb19d65ff4ba2b8903a69a,Algo-Stables
0x00000000A82B4758df44fcB124e26a9B441E59a0,Leveraged Farming
0x24a6a37576377f63f194caa5f518a60f45b42921,Yield
0x44564d0bd94343f72e3c8a0d22308b7fa71db0bb,Indexes
0x01597e397605bf280674bf292623460b4204c375,Yield
0x0AaCfbeC6a24756c20D41914F2caba817C0d8521,Synthetics
0xe8e8486228753E01Dbc222dA262Aa706Bd67e601,Indexes
0x20945ca1df56d237fd40036d47e866c7dccd2114,Insurance
0xa95c5ebb86e0de73b4fb8c47a45b792cfea28c23,Indexes
0x86772b1409b61c639eaac9ba0acfbb6e238e5f83,Indexes
0xE63684BcF2987892CEfB4caA79BD21b34e98A291,Dexes
0x92e187a03b6cd19cb6af293ba17f2745fd2357d5,CDP
0xEd1480d12bE41d92F36f5f7bDd88212E381A3677,Yield
0xd779eEA9936B4e323cDdff2529eb6F13d0A4d66e,Services
0xab37e1358b639fd877f015027bb62d3ddaa7557e,Options
0x90D53b872ce6421122B41a290aCdD22a5eD931bd,RWA
0x72377f31e30a405282b522d588aebbea202b4f23,Dexes
0xfAC77A24E52B463bA9857d6b758ba41aE20e31FF,Indexes
0x49e833337ece7afe375e44f4e3e8481029218e5c,Dexes
0xa5b947687163fe88c3e6af5b17ae69896f4abccf,CDP
0x6123b0049f904d730db3c36a31167d9d4121fa6b,Uncollateralized Lending
0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55,Services
0xf4dc48d260c93ad6a96c5ce563e70ca578987c74,Indexes
0x4d953cf077c0c95ba090226e59a18fcf97db44ec,Dexes
0xa8258deE2a677874a48F5320670A869D74f0cbC1,Indexes
0x69fa0feE221AD11012BAb0FdB45d444D3D2Ce71c,Launchpad
0xa1d0E215a23d7030842FC67cE582a6aFa3CCaB83,Yield Aggregator
0xd9fcd98c322942075a5c3860693e9f4f03aae07b,Lending
0x470ebf5f030ed85fc1ed4c2d36b9dd02e77cf1b7,Reserve Currency
0x727f064a78dc734d33eec18d5370aef32ffd46e4,Yield
0x3abf2a4f8452ccc2cf7b4c1e4663147600646f66,Launchpad
0x76c5449f4950f6338a393f53cda8b53b0cd3ca3a,Yield Aggregator
0xc12d099be31567add4e4e4d0d45691c3f58f5663,Options
0x4e38d89362f7e5db0096ce44ebd021c3962aa9a0,Services
0xbA8A621b4a54e61C442F5Ec623687e2a942225ef,Services
0x6d4ca1177087924edfe0908ef655169ea766fdc3,Liquidity manager
0x043c308bb8a5ae96d0093444be7f56459f1340b1,Dexes
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,Lending
0x28A06c02287e657ec3F8e151A13C36A1D43814b0,Lending
0xbeab712832112bd7664226db7cd025b153d3af55,Insurance
0x7fc3ec3574d408f3b59cd88709bacb42575ebf2b,Yield
0x515d7E9D75E2b76DB60F8a051Cd890eBa23286Bc,Yield
0xb26C4B3Ca601136Daf98593feAeff9E0CA702a8D,Yield Aggregator
0xd0345d30fd918d7682398acbcdf139c808998709,Liquidity manager
0xC9fE6E1C76210bE83DC1B5b20ec7FD010B0b1D15,Lending
0x6f87d756daf0503d08eb8993686c7fc01dc44fb1,Dexes
0xb439b8731ee047799019ef0b745a51d256b116af,Dexes
0xf56b164efd3cfc02ba739b719b6526a6fa1ca32a,Dexes
0xed40834a13129509a89be39a9be9c0e96a0ddd71,Lending
0x06b0c26235699b15e940e8807651568b995a8e01,Yield
0x2275d4937b6bFd3c75823744d3EfBf6c3a8dE473,Yield
0x155ff1A85F440EE0A382eA949f24CE4E0b751c65,Dexes
0x79256db1bdb6259315a1a3d7dd237f69cadfd8fc,Privacy
0x1c9BA9144505aaBa12f4b126Fda9807150b88f80,Algo-Stables
0x403d512ab96103562dcafe4635545e8ee2753f6e,Lending
0xf4CD3d3Fda8d7Fd6C5a500203e38640A70Bf9577,Services
0x757bc268bd50da88b2d0cf1966652b18e56ca803,Dexes
0x1a23a6bfbadb59fa563008c0fb7cf96dfcf34ea1,Dexes
0xbf15797bb5e47f6fb094a4abdb2cfc43f77179ef,Synthetics
0xbf900809f4c73e5a3476eb183d8b06a27e61f8e5,Derivatives
0x332E824e46FcEeB9E59ba9491B80d3e6d42B0B59,Lending
0xe0955f26515d22e347b17669993fcefcc73c3a0a,Yield
0xB668f51f1D63452b566456053fA348c3037E2B1F,Yield
0xfAC77A24E52B463bA9857d6b758ba41aE20e31FF,Farm
0x20398ad62bb2d930646d45a6d4292baa0b860c1f,Yield
0xe1b583dc66e0a24fd9af2dc665f6f5e48978e106,Dexes
0x14b14F83e94d81a0B2BD26E5a2D5343F9355fD12,Services
0x77dce26c03a9b833fc2d7c31c22da4f42e9d9582,Yield
0x84d821f7fbdd595c4c4a50842913e6b1e07d7a53,Lending
0x65d9bc970aa9b2413027fa339f7f179b3f3f2604,Synthetics
0xcc4304a31d09258b0029ea7fe63d032f52e44efe,Services
0x493CbBd4A5da462E3dbc3E5c8e2A1E37D1D03CAc,NFT Lending
0x848578e351d25b6ec0d486e42677891521c3d743,Yield Aggregator
0x04E60C5F1C3A9Fff297A7498D6Fa571F5266c233,Derivatives
0xa5d04fD00Ed911Ba809B4D1BC9e90F79eE5A4e47,Yield
0x34769d3e122c93547836addd3eb298035d68f1c3,Yield
0x8a6ACA71A218301c7081d4e96D64292D3B275ce0,Dexes
0xA4Eb9C64eC359D093eAc7B65F51Ef933D6e5F7cd,Yield
0x360111d897d32614619F37f151061c8D431a47f9,Dexes
0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,Algo-Stables
0x21585BBcD5bDC3f5737620cf0Db2E51978cf60ac,Services
0x139cec55d1ec47493dfa25ca77c9208aba4d3c68,CDP
0xa3BeD4E1c75D00fa6f4E5E6922DB7261B5E9AcD2,Yield
0x0dc5189ec8cde5732a01f0f592e927b304370551,Yield
0xb78B3320493a4EFaa1028130C5Ba26f0B6085Ef8,Yield Aggregator
0x5caf454ba92e6f2c929df14667ee360ed9fd5b26,Yield
0x1695936d6a953df699c38ca21c2140d497c08bd9,Synthetics
0x32c868f6318d6334b2250f323d914bc2239e4eee,Yield
0x2aeccb42482cc64e087b6d2e5da39f5a7a7001f8,Lending
0x64aa3364F17a4D01c6f1751Fd97C2BD3D7e7f1D5,Reserve Currency
0x1337def16f9b486faed0293eb623dc8395dfe46a,Insurance
0x3d6f0dea3ac3c607b3998e6ce14b6350721752d9,Launchpad
0x56ee175fe37cd461486ce3c3166e0cafccd9843f,Oracle
0x767fe9edc9e0df98e07454847909b5e959d7ca0e,Gaming
0x692aCCdD8b86692427E0aa4752AE917Df01CC56F,Prediction Market
0xc770eefad204b5180df6a14ee197d99d808ee52d,Dexes
0xBEA0000029AD1c77D3d5D23Ba2D8893dB9d1Efab,Algo-Stables
0xB6ff96B8A8d214544Ca0dBc9B33f7AD6503eFD32,NFT Lending
0x21ad647b8f4fe333212e735bfc1f36b4941e6ad2,Reserve Currency
0x3c48ca59bf2699e51d4974d4b6d284ae52076e5e,Services
0x30AC8317DfB0ab4263CD8dB1C4F10749911B126C,Reserve Currency
0xb753428af26e81097e7fd17f40c88aaa3e04902c,Yield
0xcAfE001067cDEF266AfB7Eb5A286dCFD277f3dE5,Dexes
0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,Yield
0xffed56a180f23fd32bc6a1d8d3c09c283ab594a8,Lending
0xdec41db0c33f3f6f3cb615449c311ba22d418a8d,Reserve Currency
0x1321f1f1aa541A56C31682c57b80ECfCCd9bB288,Insurance
0x8a14897ea5f668f36671678593fae44ae23b39fb,Reserve Currency
0x9d1233cc46795e94029fda81aaadc1455d510f15,Algo-Stables
0x07150e919b4de5fd6a63de1f9384828396f25fdc,Indexes
0x5197fbe1a86679ff1360e27862bf88b0c5119bd8,Dexes
0x949D48EcA67b17269629c7194F4b727d4Ef9E5d6,Launchpad
0x7b39917f9562c8bc83c7a6c2950ff571375d505d,Reserve Currency
0x579cea1889991f68acc35ff5c3dd0621ff29b0c9,Services
0xd90e69f67203ebe02c917b5128629e77b4cd92dc,Yield
0xacd8f2523a4613eee78904354187c81bb05ae2b8,Yield
0x0edf9bc41bbc1354c70e2107f80c42cae7fbbca8,Yield
0x3C4B6E6e1eA3D4863700D7F76b36B7f3D3f13E3d,Services
0xf4d2888d29D722226FafA5d9B24F9164c092421E,NFT Marketplace
0xDd1Ad9A21Ce722C151A836373baBe42c868cE9a4,Services
0x9ea3b5b4ec044b70375236a281986106457b20ef,Options
0x7f3141c4d6b047fb930991b450f1ed996a51cb26,Services
0xA68Dd8cB83097765263AdAD881Af6eeD479c4a33,Services
0x3b484b82567a09e2588A13D54D032153f0c0aEe0,Services
0xc52c326331e9ce41f04484d3b5e5648158028804,Services
0x0b38210ea11411557c13457d4da7dc6ea731b88a,Oracle
0x3402e15b3ea0f1aec2679c4be4c6d051cef93953,Indexes
0xc98a910ede52e7d5308525845f19e17470dbccf7,Yield
0xf59257E961883636290411c11ec5Ae622d19455e,Reserve Currency
0x88800092ff476844f74dc2fc427974bbee2794ae,Services
0xf418588522d5dd018b425E472991E52EBBeEEEEE,Services
0xbc138bD20C98186CC0342C8e380953aF0cb48BA8,Dexes
0xf5f06fFa53Ad7F5914F493F16E57B56C8dd2eA80,Yield
0x35e78b3982e87ecfd5b3f3265b601c046cdbe232,Liquid Staking
0x0D97Fee619d955509e54B046c9992B6E9F5B0630,Indexes
0xb8919522331C59f5C16bDfAA6A121a6E03A91F62,CDP
0x37fe0f067fa808ffbdd12891c0858532cfe7361d,Yield
0xb4FBed161bEbcb37afB1Cb4a6F7cA18b977cCB25,Services
0x93b743Fb12a2677adB13093f8eA8464A436DA008,Farm
0xe41d2489571d322189246dafa5ebde1f4699f498,Dexes
0x470ebf5f030ed85fc1ed4c2d36b9dd02e77cf1b7,Dexes
0x70008f18fc58928dce982b0a69c2c21ff80dca54,Dexes
0xF9C12B27cE5058ab98ce11BD53900f84E18C0650,Derivatives
0x3d3d35bb9bec23b06ca00fe472b50e7a4c692c30,Gaming
0x02814F435dD04e254Be7ae69F61FCa19881a780D,Algo-Stables
0x3541A5C1b04AdABA0B83F161747815cd7B1516bC,RWA
0x2d94aa3e47d9d5024503ca8491fce9a2fb4da198,Services
0xa117000000f279d81a1d3cc75430faa017fa5a2e,Services
0x1a4b46696b2bb4794eb3d4c26f1c55f9170fa4c5,Services
0xfca59cd816ab1ead66534d82bc21e7515ce441cf,Services
0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,Services
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,Services
0x6810e776880c02933d47db1b9fc05908e5386b96,Services
0x35bD01FC9d6D5D81CA9E055Db88Dc49aa2c699A8,Services
0x0f9b80fc3c8b9123d0aef43df58ebdbc034a8901,NFT Marketplace
0x60bE1e1fE41c1370ADaF5d8e66f07Cf1C2Df2268,Gaming
0x514910771af9ca656af840dff83e8264ecf986ca,Oracle
0xdef1ca1fb7fbcdc777520aa7f396b4e015f497ab,Dexes
0x4d224452801aced8b2f0aebe155379bb5d594381,Yield
0xc82e3db60a52cf7529253b4ec688f631aad9e7c2,Services
0x8a854288a5976036A725879164Ca3e91d30c6A1B,Services
0x60b9c9C167bA57cc376b0FaafC68Df5C9882328e,Cross Chain
0x5a56da75c50aa2733f5fa9a2442aaefcbc60b2e6,Indexes
0xF75C7a59bCD9bd207C4Ab1BEB0b32EEd3B6392f3,Yield
0x579cea1889991f68acc35ff5c3dd0621ff29b0c9,Services
0xa1d65e8fb6e87b60feccbc582f7f97804b725521,Services
0x77fba179c79de5b7653f68b5039af940ada60ce0,Services
0xF344B01DA08b142D2466dae9e47E333f22e64588,Services
0x888cea2bbdd5d47a4032cf63668d7525c74af57a,Dexes
